index,Duration,Total stops,Price,Average Price Per Airlines,Source_NRT,Source_TPE,Destination_NRT,Destination_TPE
1186,510,1.0,265.0,246.55555555555554,0,1,1,0
1192,1805,2.0,173.0,173.0,0,1,1,0
1215,350,1.0,233.0,261.8636363636364,0,1,1,0
1216,520,1.0,239.0,246.55555555555554,0,1,1,0
1219,340,1.0,272.0,261.8636363636364,0,1,1,0
1220,555,1.0,233.0,261.8636363636364,0,1,1,0
1222,430,1.0,247.0,328.56962025316454,0,1,1,0
1230,380,1.0,257.0,261.8636363636364,0,1,1,0
1231,460,1.0,247.0,328.56962025316454,0,1,1,0
1235,585,1.0,249.0,261.8636363636364,0,1,1,0
1247,520,1.0,250.0,246.55555555555554,0,1,1,0
1254,350,1.0,286.0,261.8636363636364,0,1,1,0
1262,350,1.0,266.0,261.8636363636364,0,1,1,0
1263,520,1.0,243.0,246.55555555555554,0,1,1,0
1264,430,1.0,247.0,328.56962025316454,0,1,1,0
1267,515,1.0,254.0,197.33333333333334,0,1,1,0
1295,340,1.0,231.0,261.8636363636364,0,1,1,0
1302,475,1.0,237.0,261.8636363636364,0,1,1,0
3,205,0.0,286.0,395.2901069518717,0,0,0,1
4,220,0.0,286.0,395.2901069518717,0,0,0,1
5,220,0.0,345.0,408.04664179104475,0,0,0,1
6,215,0.0,345.0,505.3943396226415,0,0,0,1
7,205,0.0,345.0,408.04664179104475,0,0,0,1
8,215,0.0,341.0,505.3943396226415,0,0,0,1
10,380,1.0,326.0,361.3519553072626,0,0,0,1
15,470,1.0,344.0,361.3519553072626,0,0,0,1
19,205,0.0,286.0,395.2901069518717,0,0,0,1
20,220,0.0,286.0,395.2901069518717,0,0,0,1
21,215,0.0,475.0,505.3943396226415,0,0,0,1
22,205,0.0,345.0,408.04664179104475,0,0,0,1
23,220,0.0,345.0,408.04664179104475,0,0,0,1
24,380,1.0,405.0,361.3519553072626,0,0,0,1
26,470,1.0,344.0,361.3519553072626,0,0,0,1
35,220,0.0,277.0,395.2901069518717,0,0,0,1
36,205,0.0,292.0,395.2901069518717,0,0,0,1
37,215,0.0,341.0,505.3943396226415,0,0,0,1
39,205,0.0,345.0,408.04664179104475,0,0,0,1
40,220,0.0,345.0,408.04664179104475,0,0,0,1
41,380,1.0,325.0,361.3519553072626,0,0,0,1
47,470,1.0,339.0,361.3519553072626,0,0,0,1
51,220,0.0,286.0,395.2901069518717,0,0,0,1
52,205,0.0,300.0,395.2901069518717,0,0,0,1
53,215,0.0,341.0,505.3943396226415,0,0,0,1
55,205,0.0,345.0,408.04664179104475,0,0,0,1
56,220,0.0,345.0,408.04664179104475,0,0,0,1
57,380,1.0,326.0,361.3519553072626,0,0,0,1
60,470,1.0,344.0,361.3519553072626,0,0,0,1
67,220,0.0,286.0,395.2901069518717,0,0,0,1
68,220,0.0,345.0,408.04664179104475,0,0,0,1
69,205,0.0,465.0,395.2901069518717,0,0,0,1
72,380,1.0,326.0,361.3519553072626,0,0,0,1
83,220,0.0,286.0,395.2901069518717,0,0,0,1
85,205,0.0,345.0,408.04664179104475,0,0,0,1
86,205,0.0,372.0,395.2901069518717,0,0,0,1
87,220,0.0,345.0,408.04664179104475,0,0,0,1
90,380,1.0,326.0,361.3519553072626,0,0,0,1
99,220,0.0,286.0,395.2901069518717,0,0,0,1
101,215,0.0,340.0,505.3943396226415,0,0,0,1
102,205,0.0,345.0,408.04664179104475,0,0,0,1
103,220,0.0,345.0,408.04664179104475,0,0,0,1
104,205,0.0,360.0,395.2901069518717,0,0,0,1
105,380,1.0,326.0,361.3519553072626,0,0,0,1
108,530,1.0,298.0,326.79487179487177,0,0,0,1
115,220,0.0,286.0,395.2901069518717,0,0,0,1
116,205,0.0,328.0,395.2901069518717,0,0,0,1
117,215,0.0,341.0,505.3943396226415,0,0,0,1
119,205,0.0,345.0,408.04664179104475,0,0,0,1
120,220,0.0,345.0,408.04664179104475,0,0,0,1
121,380,1.0,326.0,361.3519553072626,0,0,0,1
124,470,1.0,344.0,361.3519553072626,0,0,0,1
131,220,0.0,286.0,395.2901069518717,0,0,0,1
133,205,0.0,345.0,408.04664179104475,0,0,0,1
134,380,1.0,326.0,361.3519553072626,0,0,0,1
135,205,0.0,360.0,395.2901069518717,0,0,0,1
136,220,0.0,345.0,408.04664179104475,0,0,0,1
140,470,1.0,388.0,361.3519553072626,0,0,0,1
147,220,0.0,300.0,395.2901069518717,0,0,0,1
148,205,0.0,345.0,408.04664179104475,0,0,0,1
149,220,0.0,345.0,408.04664179104475,0,0,0,1
150,205,0.0,396.0,395.2901069518717,0,0,0,1
151,380,1.0,326.0,361.3519553072626,0,0,0,1
157,470,1.0,405.0,361.3519553072626,0,0,0,1
163,220,0.0,286.0,395.2901069518717,0,0,0,1
164,205,0.0,345.0,408.04664179104475,0,0,0,1
165,220,0.0,345.0,408.04664179104475,0,0,0,1
166,380,1.0,361.0,361.3519553072626,0,0,0,1
168,470,1.0,364.0,361.3519553072626,0,0,0,1
175,640,1.0,330.0,361.3519553072626,0,0,0,1
179,220,0.0,286.0,395.2901069518717,0,0,0,1
180,220,0.0,345.0,408.04664179104475,0,0,0,1
181,380,1.0,361.0,361.3519553072626,0,0,0,1
195,205,0.0,290.0,395.2901069518717,0,0,0,1
196,220,0.0,277.0,395.2901069518717,0,0,0,1
197,205,0.0,345.0,408.04664179104475,0,0,0,1
198,220,0.0,345.0,408.04664179104475,0,0,0,1
199,215,0.0,434.0,505.3943396226415,0,0,0,1
200,380,1.0,361.0,361.3519553072626,0,0,0,1
206,470,1.0,433.0,361.3519553072626,0,0,0,1
211,220,0.0,277.0,395.2901069518717,0,0,0,1
212,205,0.0,345.0,408.04664179104475,0,0,0,1
213,205,0.0,347.0,395.2901069518717,0,0,0,1
214,220,0.0,345.0,408.04664179104475,0,0,0,1
215,215,0.0,434.0,505.3943396226415,0,0,0,1
216,380,1.0,326.0,361.3519553072626,0,0,0,1
217,470,1.0,344.0,361.3519553072626,0,0,0,1
222,530,1.0,324.0,326.79487179487177,0,0,0,1
227,220,0.0,277.0,395.2901069518717,0,0,0,1
228,205,0.0,317.0,395.2901069518717,0,0,0,1
229,215,0.0,341.0,505.3943396226415,0,0,0,1
230,205,0.0,345.0,408.04664179104475,0,0,0,1
